지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
702,2021-01-01 00:00,-11,191.8,.7,0,,,96.8,0,2.5
702,2021-01-01 01:00,-10.5,0,.3,0,,,96.8,0,0
702,2021-01-01 02:00,-7.3,0,.1,0,,,97.4,0,0
702,2021-01-01 03:00,-8.5,0,0,0,,,97.3,0,0
702,2021-01-01 04:00,-9.2,136.8,.5,0,,,97,0,0
702,2021-01-01 05:00,-10.3,0,0,0,,,97.1,0,0
702,2021-01-01 06:00,-8.7,0,.3,0,,,97.4,0,0
702,2021-01-01 07:00,-7.9,0,.4,0,,,97.4,0,0
702,2021-01-01 08:00,-8.7,151.1,.9,0,,,97.4,0,0
702,2021-01-01 09:00,-6.8,120,.6,0,,,97.4,0,.6
702,2021-01-01 10:00,-4.1,48.9,.9,0,,,82.1,0,1
702,2021-01-01 11:00,-2.1,128.6,.5,0,,,81.4,0,1
702,2021-01-01 12:00,-.6,176.6,.9,0,,,78.3,0,1.4
702,2021-01-01 13:00,.6,190.8,1,0,,,86.7,0,1.4
702,2021-01-01 14:00,2.5,199.4,1.8,0,,,79.2,0,1.9
702,2021-01-01 15:00,3.5,207.9,2.4,0,,,66.7,0,2.4
702,2021-01-01 16:00,3.1,220.2,2.6,0,,,69.4,0,2.8
702,2021-01-01 17:00,2.7,219.6,2.6,0,,,55.4,0,2.7
702,2021-01-01 18:00,.7,202.7,1,0,,,68.5,0,2.8
702,2021-01-01 19:00,-.7,178,.6,0,,,75,0,2.7
702,2021-01-01 20:00,-2.2,0,0,0,,,87.7,0,2.8
702,2021-01-01 21:00,-4.1,12.5,1.1,0,,,93.4,0,2.7
702,2021-01-01 22:00,-3.4,0,.1,0,,,93,0,2.8
702,2021-01-01 23:00,-2.4,0,.1,0,,,94,0,2.7
702,2021-01-02 00:00,-1.9,325.3,.7,0,,,91.1,0,2.8
702,2021-01-02 01:00,-1.8,307.6,1.7,0,,,90.6,0,0
702,2021-01-02 02:00,-1.2,0,.3,0,,,91.6,0,0
702,2021-01-02 03:00,-1.3,0,0,0,,,95.6,0,0
702,2021-01-02 04:00,-1.5,318.5,1.6,0,,,96.7,0,0
702,2021-01-02 05:00,-1.9,316.9,1.8,0,,,96.1,0,0
702,2021-01-02 06:00,-2.5,327.7,2.6,0,,,97.3,0,0
702,2021-01-02 07:00,-2.8,333.4,2.2,0,,,87.3,0,0
702,2021-01-02 08:00,-2.8,331.4,2.3,0,,,83.6,0,0
702,2021-01-02 09:00,-2.9,338.7,2.5,0,,,61.6,0,.3
702,2021-01-02 10:00,-1.4,350.9,1.8,0,,,46.9,0,.8
702,2021-01-02 11:00,-.8,335.5,3.5,0,,,42.9,0,1.4
702,2021-01-02 12:00,-.2,344.8,3.5,0,,,42.2,0,1.8
702,2021-01-02 13:00,.4,351.1,3.8,0,,,44.6,0,2.4
702,2021-01-02 14:00,.5,334.6,2.2,0,,,44.9,0,2.8
702,2021-01-02 15:00,1.3,344.5,2.6,0,,,45.5,0,3.4
702,2021-01-02 16:00,1,356.3,2.7,0,,,46,0,3.8
702,2021-01-02 17:00,0,351.3,2.8,0,,,52.5,0,3.8
702,2021-01-02 18:00,-1.3,288.6,1.2,0,,,56.2,0,3.8
702,2021-01-02 19:00,-1.8,275.9,1.2,0,,,60.9,0,3.8
702,2021-01-02 20:00,-2.6,303.1,1.7,0,,,63.1,0,3.8
702,2021-01-02 21:00,-3.9,4,.9,0,,,69.6,0,3.8
702,2021-01-02 22:00,-4.5,25.5,1.1,0,,,73.3,0,3.8
702,2021-01-02 23:00,-5.9,0,.3,0,,,79.1,0,3.8
702,2021-01-03 00:00,-7,0,.4,0,,,86.8,0,3.8
702,2021-01-03 01:00,-7,0,0,0,,,89.2,0,0
702,2021-01-03 02:00,-6.6,149.1,.5,0,,,91.9,0,0
702,2021-01-03 03:00,-6.8,338,1,0,,,90.5,0,0
702,2021-01-03 04:00,-6.3,356.6,1,0,,,90.3,0,0
702,2021-01-03 05:00,-5.2,13.3,.6,0,,,75.1,0,0
702,2021-01-03 06:00,-6.1,0,.4,0,,,89.2,0,0
702,2021-01-03 07:00,-7.1,0,0,0,,,83.8,0,0
702,2021-01-03 08:00,-6.8,328.2,.9,0,,,76.7,0,0
702,2021-01-03 09:00,-3.7,326,1.1,0,,,64,0,.7
702,2021-01-03 10:00,-1.4,35.1,1.6,0,,,50.6,0,1
702,2021-01-03 11:00,-.6,18.8,1.4,0,,,57.3,0,1.6
702,2021-01-03 12:00,-.3,336.4,2.2,0,,,53.6,0,1
702,2021-01-03 13:00,0,350.2,2.8,0,,,54.4,0,1.6
702,2021-01-03 14:00,.4,7.3,2.1,0,,,53,0,1
702,2021-01-03 15:00,.2,316.3,2.7,0,,,56.7,0,1.6
